"GUID","Id","Name","Language"
"1","1","Дебит","bg"
"2","2","Кредит","bg"
"3","3","Фактура","bg"
"4","1","Debit","de"
"5","2","Kredit","de"
"6","3","Rechnung","de"
"7","1","Débit","fr"
"8","2","Crédit","fr"
"9","3","Facture","fr"
